N,price,pages,size1,size2,size3,weight,year,volume,volume_price,weight_price,page_price,CoverType
848,1359.0,254.0,1.5,14.5,20.5,310,2023.0,445.875,3.0479394449116906,4.383870967741935,5.350393700787402,0
849,1359.0,352.0,1.7,14.5,21.6,450,2023.0,532.44,2.5524002704530084,3.02,3.8607954545454546,1
850,1359.0,136.0,0.7,14.5,20.5,172,2023.0,208.07499999999996,6.531298810525052,7.901162790697675,9.992647058823529,0
851,1409.0,400.0,2.5,15.0,20.7,540,2023.0,776.25,1.8151368760064412,2.609259259259259,3.5225,1
852,1459.0,384.0,2.0,13.5,20.7,420,2023.0,558.9,2.610484881016282,3.473809523809524,3.7994791666666665,1
853,1519.0,306.0,1.8,14.0,21.0,330,2023.0,529.1999999999999,2.8703703703703707,4.6030303030303035,4.9640522875816995,0
854,1569.0,352.0,1.5,13.0,20.0,300,2023.0,390.0,4.023076923076923,5.23,4.457386363636363,0
855,1569.0,320.0,2.3,14.8,21.3,516,2023.0,725.052,2.163982721239304,3.0406976744186047,4.903125,1
856,1569.0,336.0,1.8,13.7,20.7,380,2023.0,510.462,3.0736861901571517,4.128947368421053,4.669642857142857,1
857,1669.0,288.0,1.7,13.5,20.7,330,2023.0,475.06499999999994,3.513203456369129,5.057575757575758,5.795138888888889,1
858,1669.0,504.0,2.8,15.0,21.7,630,2023.0,911.4,1.8312486284836516,2.649206349206349,3.3115079365079363,1
859,1669.0,464.0,2.1,13.5,20.5,490,2023.0,581.1750000000001,2.8717684002236843,3.406122448979592,3.5969827586206895,1
860,1669.0,308.0,1.7,13.0,20.0,330,2023.0,441.99999999999994,3.7760180995475117,5.057575757575758,5.4188311688311686,0
861,1669.0,355.0,2.0,14.5,21.7,458,2023.0,629.3,2.6521531860797714,3.6441048034934496,4.701408450704226,1
862,1779.0,424.0,2.7,15.4,22.3,650,2023.0,927.2340000000002,1.9186095419279272,2.736923076923077,4.195754716981132,1
863,1779.0,284.0,1.7,14.0,20.6,346,2023.0,490.28000000000003,3.6285387941584397,5.141618497109826,6.264084507042254,0
864,1434.0,648.0,2.8,14.8,21.0,660,2023.0,870.24,1.6478212906784335,2.172727272727273,2.212962962962963,1
865,1879.0,252.0,0.8,20.7,15.0,510,2023.0,248.39999999999998,7.564412238325282,3.684313725490196,7.4563492063492065,1
866,2199.0,420.0,2.6,15.3,21.6,606,2023.0,859.248,2.5592145690184904,3.628712871287129,5.235714285714286,0
867,2199.0,812.0,3.8,15.3,21.6,928,2023.0,1255.824,1.7510415472231777,2.3696120689655173,2.708128078817734,1
868,2519.0,606.0,3.0,15.3,21.6,730,2023.0,991.4400000000002,2.54074880981199,3.4506849315068493,4.156765676567657,1
869,2729.0,259.0,1.8,17.2,24.2,534,2023.0,749.232,3.6423964806628657,5.110486891385768,10.536679536679536,0
870,2251.0,220.0,1.5,15.5,21.5,380,2023.0,499.875,4.503125781445362,5.923684210526316,10.231818181818182,0
871,3879.0,302.0,2.2,13.5,20.7,400,2023.0,614.7900000000001,6.30947152686283,9.6975,12.844370860927153,1
872,4619.0,720.0,3.5,17.0,26.0,1160,2023.0,1547.0,2.9857789269553976,3.981896551724138,6.415277777777778,1
873,8460.0,346.0,8.7,14.5,21.6,1948,2023.0,2724.84,3.104769454353283,4.342915811088296,24.45086705202312,1
874,359.0,151.0,1.0,15.3,21.6,310,2022.0,330.48,1.0862987170176712,1.1580645161290322,2.377483443708609,1
875,359.0,271.0,1.4,14.4,20.6,330,2022.0,415.29600000000005,0.8644436739096932,1.087878787878788,1.3247232472324724,0
876,379.0,252.0,1.4,13.7,20.9,370,2022.0,400.8619999999999,0.945462528251618,1.0243243243243243,1.503968253968254,1
877,303.0,66.0,0.3,14.8,21.0,80,2022.0,93.24000000000001,3.2496782496782495,3.7875,4.590909090909091,0
878,519.0,96.0,1.2,13.6,20.8,210,2022.0,339.456,1.5289168552036199,2.4714285714285715,5.40625,1
879,488.0,96.0,0.9,13.5,17.0,129,2022.0,206.55,2.3626240619704673,3.7829457364341086,5.083333333333333,2
880,659.0,448.0,2.2,14.0,20.5,500,2022.0,631.4000000000001,1.0437123851757997,1.318,1.4709821428571428,1
881,523.0,180.0,2.0,14.0,21.0,190,2022.0,588.0,0.8894557823129252,2.7526315789473683,2.9055555555555554,0
882,342.0,288.0,2.2,14.0,21.0,260,2022.0,646.8000000000001,0.5287569573283858,1.3153846153846154,1.1875,0
883,542.0,160.0,0.8,14.8,21.0,222,2022.0,248.64000000000004,2.1798584298584296,2.4414414414414414,3.3875,0
884,709.0,180.0,1.4,15.5,21.5,320,2022.0,466.55,1.5196656306933876,2.215625,3.938888888888889,0
885,759.0,176.0,1.0,20.0,20.0,259,2022.0,400.0,1.8975,2.9305019305019306,4.3125,0
886,638.0,238.0,1.0,14.8,21.0,250,2022.0,310.8,2.0527670527670527,2.552,2.680672268907563,0
887,869.0,170.0,0.9,13.0,20.0,180,2022.0,234.00000000000003,3.7136752136752134,4.8277777777777775,5.1117647058823525,0
888,969.0,264.0,1.7,14.6,21.7,378,2022.0,538.5939999999999,1.7991288428760812,2.5634920634920637,3.6704545454545454,1
889,989.0,432.0,2.0,13.0,20.5,410,2022.0,533.0,1.8555347091932457,2.4121951219512194,2.2893518518518516,1
890,1019.0,464.0,3.1,16.7,21.5,899,2022.0,1113.0549999999998,0.9154983356617599,1.1334816462736375,2.1961206896551726,1
891,1039.0,256.0,1.8,14.7,20.5,320,2022.0,542.4300000000001,1.9154545286949465,3.246875,4.05859375,0
892,790.0,248.0,1.8,14.5,21.7,410,2022.0,566.37,1.3948478909546762,1.9268292682926829,3.185483870967742,1
893,1149.0,276.0,1.9,14.8,21.0,412,2022.0,590.52,1.9457427352164194,2.7888349514563107,4.163043478260869,1
894,775.0,384.0,2.0,13.4,20.5,420,2022.0,549.4,1.4106297779395705,1.8452380952380953,2.0182291666666665,1
895,1149.0,278.0,1.5,15.5,21.5,390,2022.0,499.875,2.298574643660915,2.9461538461538463,4.133093525179856,1
896,1149.0,528.0,3.0,12.0,20.4,580,2022.0,734.4,1.5645424836601307,1.9810344827586206,2.1761363636363638,1
897,1359.0,240.0,1.5,14.5,21.6,349,2022.0,469.8,2.89272030651341,3.8939828080229226,5.6625,1
898,1359.0,494.0,3.5,13.3,20.5,510,2022.0,954.2750000000001,1.4241177857535825,2.664705882352941,2.751012145748988,1
899,1409.0,270.0,1.8,13.5,20.7,320,2022.0,503.01,2.801137154330928,4.403125,5.218518518518518,1
900,1409.0,197.0,1.5,13.3,21.0,310,2022.0,418.95000000000005,3.3631698293352423,4.54516129032258,7.152284263959391,1
901,1459.0,484.0,2.5,14.5,20.0,560,2022.0,725.0,2.0124137931034483,2.6053571428571427,3.0144628099173554,0
902,1142.0,285.0,1.8,15.3,21.7,400,2022.0,597.618,1.9109196844807217,2.855,4.007017543859649,1
903,1569.0,400.0,2.1,13.5,20.5,440,2022.0,581.1750000000001,2.699703187508065,3.565909090909091,3.9225,1
904,1669.0,348.0,1.8,14.0,20.6,410,2022.0,519.12,3.2150562490368317,4.070731707317073,4.795977011494253,0
905,1779.0,688.0,3.2,15.2,21.5,820,2022.0,1045.76,1.7011551407588739,2.169512195121951,2.5857558139534884,1
906,1444.0,1519.0,8.7,14.5,21.6,1886,2022.0,2724.84,0.5299393725870143,0.7656415694591728,0.9506254114549045,1
907,1879.0,340.0,2.2,14.5,21.7,508,2022.0,692.23,2.7144157288762405,3.6988188976377954,5.526470588235294,1
908,1879.0,536.0,3.0,15.5,21.5,759,2022.0,999.75,1.8794698674668666,2.4756258234519106,3.5055970149253732,1
909,1879.0,288.0,2.0,15.2,21.5,454,2022.0,653.6,2.87484700122399,4.138766519823789,6.524305555555555,1
910,2199.0,420.0,2.1,15.3,21.7,540,2022.0,697.221,3.1539497519437885,4.072222222222222,5.235714285714286,1
911,1919.0,836.0,3.5,14.8,21.0,840,2022.0,1087.8000000000002,1.7641110498253352,2.2845238095238094,2.2954545454545454,0
912,2729.0,272.0,1.6,13.4,20.5,370,2022.0,439.52000000000004,6.209046232253367,7.375675675675676,10.033088235294118,1
913,3039.0,776.0,4.6,14.5,21.7,1040,2022.0,1447.3899999999996,2.099641423527868,2.9221153846153847,3.9162371134020617,1
914,5626.0,584.0,3.5,15.5,20.7,800,2022.0,1122.975,5.009906720986665,7.0325,9.633561643835616,1
915,8751.0,513.0,4.9,17.0,20.8,1096,2022.0,1732.6400000000003,5.050674115800165,7.984489051094891,17.058479532163744,1
916,249.0,88.0,0.5,12.9,19.8,109,2021.0,127.71000000000001,1.9497298567066008,2.2844036697247705,2.8295454545454546,0
917,319.0,36.0,0.2,14.3,20.5,59,2021.0,58.63000000000001,5.440900562851781,5.406779661016949,8.86111111111111,0
918,329.0,62.0,0.4,11.9,16.5,59,2021.0,78.54,4.188948306595365,5.576271186440678,5.306451612903226,0
919,359.0,70.0,0.4,14.8,21.0,100,2021.0,124.32000000000002,2.887709137709137,3.59,5.128571428571429,0
920,549.0,344.0,2.0,13.5,20.5,449,2021.0,553.5,0.991869918699187,1.22271714922049,1.5959302325581395,1
921,569.0,164.0,1.0,14.3,20.5,209,2021.0,293.15000000000003,1.9409858434248677,2.722488038277512,3.4695121951219514,0
922,569.0,288.0,2.0,15.0,21.6,449,2021.0,648.0,0.8780864197530864,1.2672605790645879,1.9756944444444444,1
923,599.0,336.0,2.0,15.0,21.0,479,2021.0,630.0,0.9507936507936507,1.2505219206680585,1.7827380952380953,1
924,599.0,192.0,1.4,13.3,20.7,280,2021.0,385.434,1.5540922700125053,2.1392857142857142,3.1197916666666665,1
925,619.0,168.0,1.0,14.3,20.5,209,2021.0,293.15000000000003,2.11154698959577,2.9617224880382773,3.6845238095238093,0
926,619.0,216.0,1.5,17.0,24.3,469,2021.0,619.65,0.9989510207375132,1.3198294243070363,2.865740740740741,1
927,659.0,200.0,1.2,13.5,21.0,219,2021.0,340.2,1.9370958259847149,3.009132420091324,3.295,0
928,659.0,98.0,0.5,14.5,20.5,129,2021.0,148.625,4.433978132884777,5.108527131782946,6.724489795918367,0
929,659.0,360.0,1.6,11.0,18.0,250,2021.0,316.8,2.0801767676767677,2.636,1.8305555555555555,0
930,679.0,138.0,1.3,13.5,20.7,230,2021.0,363.285,1.8690559753361684,2.9521739130434783,4.920289855072464,1
931,453.0,88.0,0.5,13.0,20.0,90,2021.0,130.0,3.4846153846153847,5.033333333333333,5.1477272727272725,0
932,729.0,366.0,2.0,13.5,20.7,400,2021.0,558.9,1.3043478260869565,1.8225,1.9918032786885247,1
933,729.0,191.0,0.7,15.4,21.6,310,2021.0,232.848,3.1307977736549164,2.3516129032258064,3.816753926701571,1
934,729.0,400.0,2.0,13.5,20.5,430,2021.0,553.5,1.3170731707317074,1.6953488372093024,1.8225,1
935,759.0,224.0,1.4,13.5,20.7,290,2021.0,391.22999999999996,1.9400352733686068,2.617241379310345,3.388392857142857,1
936,605.0,100.0,0.6,14.7,21.0,140,2021.0,185.21999999999997,3.2663859194471443,4.321428571428571,6.05,0
937,809.0,302.0,1.6,14.5,20.5,370,2021.0,475.6000000000001,1.7010092514718247,2.1864864864864866,2.6788079470198674,0
938,809.0,344.0,2.0,15.1,21.6,520,2021.0,652.32,1.2401888643610497,1.5557692307692308,2.3517441860465116,1
939,829.0,416.0,2.0,13.5,20.7,439,2021.0,558.9,1.4832707103238505,1.888382687927107,1.9927884615384615,1
940,829.0,416.0,2.3,13.4,20.7,439,2021.0,637.9739999999999,1.2994259954167413,1.888382687927107,1.9927884615384615,1
941,829.0,332.0,2.2,15.5,22.0,519,2021.0,750.2,1.1050386563583043,1.5973025048169558,2.496987951807229,1
942,869.0,536.0,3.0,15.0,21.5,750,2021.0,967.5,0.8981912144702843,1.1586666666666667,1.6212686567164178,1
943,869.0,332.0,1.8,14.5,20.5,409,2021.0,535.0500000000001,1.624147275955518,2.1246943765281174,2.6174698795180724,0
944,715.0,448.0,2.3,13.0,20.5,419,2021.0,612.9499999999999,1.166489925768823,1.7064439140811456,1.5959821428571428,1
945,889.0,166.0,1.0,14.8,21.0,215,2021.0,310.8,2.8603603603603602,4.134883720930232,5.355421686746988,0
946,889.0,536.0,4.0,15.0,22.0,940,2021.0,1320.0,0.6734848484848485,0.9457446808510638,1.6585820895522387,1
947,919.0,352.0,2.0,15.3,21.7,479,2021.0,664.02,1.383994457998253,1.918580375782881,2.6107954545454546,1
948,919.0,496.0,2.5,13.5,20.5,509,2021.0,691.875,1.328274616079494,1.805500982318271,1.8528225806451613,1
949,722.0,112.0,0.6,14.6,21.0,150,2021.0,183.96,3.9247662535333765,4.8133333333333335,6.446428571428571,0
950,1019.0,192.0,1.7,13.8,20.8,349,2021.0,487.968,2.0882516886353204,2.9197707736389686,5.307291666666667,1
951,1019.0,119.0,2.0,14.0,21.0,159,2021.0,588.0,1.7329931972789117,6.408805031446541,8.563025210084033,0
952,809.0,194.0,1.2,15.0,21.5,340,2021.0,387.0,2.090439276485788,2.3794117647058823,4.170103092783505,1
953,835.0,288.0,2.0,14.0,21.0,361,2021.0,588.0,1.4200680272108843,2.3130193905817173,2.8993055555555554,0
954,1099.0,176.0,0.9,14.5,21.5,239,2021.0,280.575,3.9169562505568924,4.598326359832636,6.244318181818182,0
955,917.0,1039.0,5.2,14.4,21.6,1224,2021.0,1617.4080000000004,0.5669565131370685,0.7491830065359477,0.8825794032723773,1
956,956.0,164.0,1.0,14.7,21.0,209,2021.0,308.7,3.096857790735342,4.574162679425838,5.829268292682927,0
957,965.0,178.0,1.2,15.5,21.5,289,2021.0,399.9,2.413103275818955,3.339100346020761,5.421348314606742,1
958,980.0,266.0,1.5,15.3,21.6,379,2021.0,495.7200000000001,1.976922456225288,2.5857519788918206,3.6842105263157894,1
959,1309.0,640.0,3.3,13.0,20.5,500,2021.0,879.4499999999999,1.488430268918074,2.618,2.0453125,1
960,1309.0,400.0,2.9,14.6,21.6,579,2021.0,914.544,1.4313144036809602,2.2607944732297063,3.2725,1
961,1309.0,232.0,1.8,18.0,23.7,610,2021.0,767.88,1.7046934416835964,2.1459016393442623,5.642241379310345,1
962,1309.0,464.0,2.1,15.0,21.5,579,2021.0,677.25,1.9328165374677002,2.2607944732297063,2.8211206896551726,1
963,1409.0,84.0,0.5,14.3,220.3,109,2021.0,1575.1450000000002,0.8945208218925875,12.926605504587156,16.773809523809526,0
964,1519.0,370.0,1.8,14.5,20.5,450,2021.0,535.0500000000001,2.8389870105597605,3.3755555555555556,4.105405405405405,0
965,1519.0,344.0,2.7,17.4,24.8,769,2021.0,1165.104,1.3037462750106428,1.975292587776333,4.415697674418604,1
966,1254.0,370.0,2.3,15.4,21.6,560,2021.0,765.0719999999999,1.6390614216701176,2.2392857142857143,3.389189189189189,1
967,1152.0,272.0,1.6,14.5,21.7,370,2021.0,503.44000000000005,2.2882567932623545,3.1135135135135137,4.235294117647059,1
968,1120.0,489.0,2.4,13.5,20.7,509,2021.0,670.68,1.6699469195443433,2.200392927308448,2.2903885480572597,1
969,1669.0,608.0,3.0,14.0,20.7,610,2021.0,869.4,1.9197147458017023,2.736065573770492,2.745065789473684,1
970,1669.0,96.0,0.8,12.0,23.0,180,2021.0,220.80000000000004,7.558876811594201,9.272222222222222,17.385416666666668,0
971,1879.0,608.0,3.8,17.5,23.7,1139,2021.0,1576.05,1.1922210589765554,1.649692712906058,3.0904605263157894,1
972,2729.0,624.0,3.2,13.0,20.5,639,2021.0,852.8000000000001,3.200046904315197,4.270735524256651,4.373397435897436,1
973,2929.0,416.0,3.4,15.1,23.5,720,2021.0,1206.49,2.427703503551625,4.0680555555555555,7.040865384615385,1
974,3249.0,650.0,3.7,17.1,24.0,1159,2021.0,1518.4800000000002,2.1396396396396393,2.80327868852459,4.998461538461538,1
975,3359.0,112.0,1.0,15.5,22.0,259,2021.0,341.0,9.850439882697946,12.96911196911197,29.991071428571427,1
976,3569.0,320.0,3.0,25.5,30.0,2010,2021.0,2295.0,1.555119825708061,1.7756218905472636,11.153125,0
977,289.0,416.0,2.5,13.7,20.3,439,2020.0,695.275,0.41566286721081586,0.6583143507972665,0.6947115384615384,1
978,359.0,60.0,0.4,14.5,20.4,90,2020.0,118.32000000000001,3.0341446923597024,3.988888888888889,5.983333333333333,0
979,399.0,160.0,1.2,13.5,21.0,250,2020.0,340.2,1.1728395061728396,1.596,2.49375,1
980,409.0,128.0,1.1,15.0,22.3,370,2020.0,367.95,1.1115640712053267,1.1054054054054054,3.1953125,1
981,469.0,284.0,1.9,13.5,20.8,379,2020.0,533.52,0.8790673264357475,1.237467018469657,1.6514084507042253,1
982,519.0,132.0,0.8,13.0,20.0,129,2020.0,208.0,2.4951923076923075,4.023255813953488,3.9318181818181817,0
983,519.0,240.0,1.8,14.5,21.7,389,2020.0,566.37,0.9163620954499708,1.3341902313624678,2.1625,1
984,569.0,496.0,3.2,14.7,21.7,689,2020.0,1020.7679999999999,0.5574234302015738,0.8258345428156749,1.1471774193548387,1
985,599.0,320.0,1.7,13.5,20.7,370,2020.0,475.06499999999994,1.260880090092935,1.6189189189189188,1.871875,1
986,599.0,80.0,0.3,14.2,19.5,90,2020.0,83.07,7.210786084025521,6.655555555555556,7.4875,0
987,619.0,288.0,1.8,13.5,20.5,349,2020.0,498.15000000000003,1.2425976111612966,1.7736389684813754,2.1493055555555554,1
988,453.0,224.0,1.8,14.8,21.7,439,2020.0,578.088,0.7836177191015902,1.031890660592255,2.0223214285714284,0
989,709.0,144.0,0.7,14.5,20.3,180,2020.0,206.045,3.440995898954112,3.938888888888889,4.923611111111111,0
990,729.0,110.0,0.6,14.5,20.5,150,2020.0,178.35,4.087468460891506,4.86,6.627272727272727,0
991,759.0,304.0,1.6,14.7,20.8,360,2020.0,489.216,1.5514619309262165,2.1083333333333334,2.4967105263157894,1
992,607.0,154.0,0.8,14.8,21.0,200,2020.0,248.64000000000004,2.441280566280566,3.035,3.9415584415584415,0
993,619.0,112.0,0.7,14.7,21.0,159,2020.0,216.08999999999997,2.8645471794159842,3.893081761006289,5.526785714285714,0
994,620.0,426.0,2.6,15.4,21.6,639,2020.0,864.864,0.7168757168757168,0.9702660406885759,1.4553990610328638,1
995,590.0,286.0,2.1,14.1,21.0,319,2020.0,621.81,0.948842894131648,1.8495297805642634,2.062937062937063,0
996,889.0,250.0,1.4,14.5,20.5,300,2020.0,416.1499999999999,2.136248948696384,2.9633333333333334,3.556,1
997,702.0,104.0,0.6,14.8,21.0,140,2020.0,186.48000000000002,3.7644787644787643,5.014285714285714,6.75,0
998,704.0,112.0,0.6,15.0,21.0,150,2020.0,189.0,3.7248677248677247,4.693333333333333,6.285714285714286,0
999,821.0,282.0,2.0,14.0,21.0,355,2020.0,588.0,1.3962585034013606,2.312676056338028,2.9113475177304964,0
1000,904.0,224.0,2.0,14.3,21.8,310,2020.0,623.48,1.4499262205684225,2.9161290322580644,4.035714285714286,1
1001,1099.0,672.0,3.3,15.3,21.6,800,2020.0,1090.584,1.0077169663226309,1.37375,1.6354166666666667,1
1002,1199.0,608.0,3.4,12.0,20.5,610,2020.0,836.4,1.4335246293639408,1.9655737704918033,1.9720394736842106,1
1003,1199.0,278.0,1.4,14.0,19.7,310,2020.0,386.11999999999995,3.1052522531855384,3.867741935483871,4.31294964028777,0
1004,1249.0,168.0,1.0,16.2,23.5,280,2020.0,380.7,3.2807985290254793,4.460714285714285,7.434523809523809,0
1005,1249.0,600.0,3.1,14.5,21.0,750,2020.0,943.95,1.3231633031410561,1.6653333333333333,2.0816666666666666,0
1006,1249.0,380.0,2.2,14.8,20.7,500,2020.0,673.9920000000001,1.85313772270294,2.498,3.286842105263158,1
1007,1309.0,416.0,2.2,13.5,20.7,449,2020.0,614.7900000000001,2.129182322419037,2.915367483296214,3.1466346153846154,1
1008,1359.0,312.0,1.6,14.0,20.0,349,2020.0,448.00000000000006,3.0334821428571423,3.8939828080229226,4.355769230769231,0
1009,1169.0,270.0,2.0,14.0,21.0,341,2020.0,588.0,1.9880952380952381,3.4281524926686218,4.32962962962963,0
1010,1211.0,282.0,2.0,14.0,21.0,354,2020.0,588.0,2.0595238095238093,3.42090395480226,4.294326241134752,0
1011,1569.0,702.0,3.6,14.4,20.3,819,2020.0,1052.352,1.49094599525634,1.9157509157509158,2.235042735042735,0
1012,1569.0,256.0,2.0,20.4,14.3,349,2020.0,583.4399999999999,2.689222542163719,4.495702005730659,6.12890625,0
1013,1669.0,125.0,0.7,14.0,21.5,170,2020.0,210.7,7.921214997626958,9.81764705882353,13.352,0
1014,1307.0,308.0,2.0,14.0,21.0,384,2020.0,588.0,2.2227891156462585,3.4036458333333335,4.2435064935064934,0
1015,1308.0,344.0,1.8,14.7,21.0,449,2020.0,555.66,2.3539574559982723,2.913140311804009,3.802325581395349,0
1016,1370.0,328.0,2.0,14.0,21.0,409,2020.0,588.0,2.3299319727891157,3.349633251833741,4.176829268292683,0
1017,1388.0,332.0,2.0,14.0,21.0,415,2020.0,588.0,2.360544217687075,3.3445783132530122,4.180722891566265,0
1018,1673.0,1256.0,8.0,13.5,20.5,1529,2020.0,2214.0,0.7556458897922312,1.0941792020928711,1.3320063694267517,1
1019,2309.0,626.0,3.8,17.0,24.2,1129,2020.0,1563.3199999999997,1.4769848783358497,2.0451727192205493,3.6884984025559104,1
1020,269.0,200.0,1.4,11.8,17.1,210,2019.0,282.492,0.9522393554507738,1.2809523809523808,1.345,1
1021,299.0,136.0,1.3,15.3,21.6,319,2019.0,429.624,0.6959573953038005,0.9373040752351097,2.198529411764706,1
1022,369.0,160.0,1.0,13.5,20.7,230,2019.0,279.45,1.320450885668277,1.6043478260869566,2.30625,1
1023,389.0,256.0,1.7,13.2,20.7,310,2019.0,464.5079999999999,0.8374452108467455,1.2548387096774194,1.51953125,0
1024,439.0,528.0,2.7,14.2,20.7,560,2019.0,793.638,0.5531489167605381,0.7839285714285714,0.8314393939393939,0
1025,549.0,146.0,1.2,12.5,17.2,189,2019.0,258.0,2.127906976744186,2.9047619047619047,3.76027397260274,1
1026,569.0,224.0,1.2,11.9,20.0,230,2019.0,285.59999999999997,1.9922969187675073,2.473913043478261,2.5401785714285716,0
1027,452.0,102.0,0.6,14.8,21.0,140,2019.0,186.48000000000002,2.4238524238524235,3.2285714285714286,4.431372549019608,0
1028,659.0,592.0,3.4,15.0,21.6,810,2019.0,1101.6000000000001,0.5982207697893972,0.8135802469135802,1.1131756756756757,1
1029,679.0,224.0,1.6,15.3,21.8,349,2019.0,533.6640000000001,1.2723361515860165,1.9455587392550144,3.03125,1
1030,709.0,346.0,3.0,12.0,17.0,469,2019.0,612.0,1.158496732026144,1.511727078891258,2.0491329479768785,0
1031,729.0,304.0,1.5,13.0,20.6,310,2019.0,401.70000000000005,1.8147871545929797,2.3516129032258064,2.398026315789474,0
1032,729.0,192.0,1.3,13.3,20.8,259,2019.0,359.63200000000006,2.0270721181652354,2.8146718146718146,3.796875,1
1033,570.0,190.0,1.0,14.9,21.0,250,2019.0,312.90000000000003,1.8216682646212845,2.28,3.0,0
1034,759.0,304.0,1.8,14.8,20.6,409,2019.0,548.7840000000001,1.3830578150966497,1.8557457212713937,2.4967105263157894,0
1035,759.0,264.0,1.6,14.5,21.0,349,2019.0,487.20000000000005,1.5578817733990147,2.174785100286533,2.875,2
1036,600.0,104.0,0.7,14.9,21.0,150,2019.0,219.03,2.7393507738665934,4.0,5.769230769230769,0
1037,602.0,311.0,1.8,14.8,21.0,340,2019.0,559.44,1.076076076076076,1.7705882352941176,1.9356913183279743,0
1038,779.0,182.0,1.0,14.5,20.3,230,2019.0,294.35,2.6465092576864273,3.3869565217391306,4.28021978021978,0
1039,889.0,36.0,0.2,14.7,21.0,50,2019.0,61.74,14.399092970521542,17.78,24.694444444444443,0
1040,690.0,202.0,1.1,14.8,21.0,270,2019.0,341.88,2.0182520182520185,2.5555555555555554,3.4158415841584158,0
1041,718.0,172.0,0.9,14.8,21.0,230,2019.0,279.72,2.5668525668525666,3.121739130434783,4.174418604651163,0
1042,989.0,346.0,1.5,15.3,21.8,330,2019.0,500.31000000000006,1.976774399872079,2.996969696969697,2.8583815028901736,0
1043,1019.0,346.0,2.7,13.0,20.5,529,2019.0,719.5500000000001,1.4161628795775136,1.9262759924385633,2.945086705202312,0
1044,1039.0,336.0,2.3,15.0,19.0,469,2019.0,655.5,1.5850495804729214,2.215351812366738,3.0922619047619047,1
1045,1149.0,416.0,2.2,13.5,20.7,450,2019.0,614.7900000000001,1.8689308544381005,2.5533333333333332,2.762019230769231,1
1046,1008.0,162.0,1.2,15.3,21.7,310,2019.0,398.412,2.5300442757748263,3.2516129032258063,6.222222222222222,0
1047,1459.0,768.0,4.2,17.0,24.2,1360,2019.0,1727.88,0.8443873417135449,1.0727941176470588,1.8997395833333333,1
1048,1779.0,160.0,1.0,14.5,20.4,200,2019.0,295.79999999999995,6.014198782961461,8.895,11.11875,0
1049,2089.0,160.0,1.5,16.5,24.7,500,2019.0,611.3249999999999,3.417167627693944,4.178,13.05625,1
1050,5499.0,664.0,3.9,17.0,24.2,1190,2019.0,1604.4599999999998,3.427321341759845,4.621008403361344,8.281626506024097,1
1051,159.0,36.0,0.4,17.0,12.0,50,2018.0,81.60000000000001,1.9485294117647056,3.18,4.416666666666667,0
1052,279.0,74.0,0.4,14.6,20.7,100,2018.0,120.88799999999999,2.3079213817748663,2.79,3.77027027027027,0
1053,249.0,352.0,1.7,12.5,20.0,268,2018.0,425.0,0.5858823529411765,0.9291044776119403,0.7073863636363636,0
1054,519.0,346.0,2.5,13.6,20.7,529,2018.0,703.8,0.7374254049445865,0.9810964083175804,1.5,0
1055,569.0,160.0,1.3,13.0,20.5,266,2018.0,346.45000000000005,1.6423726367441187,2.1390977443609023,3.55625,1
1056,464.0,288.0,1.7,12.0,19.5,270,2018.0,397.79999999999995,1.166415284062343,1.7185185185185186,1.6111111111111112,1
1057,605.0,352.0,3.0,12.9,20.6,349,2018.0,797.2200000000001,0.7588871327864327,1.7335243553008597,1.71875,1
1058,759.0,480.0,2.9,15.4,21.8,720,2018.0,973.588,0.7795905454874136,1.0541666666666667,1.58125,1
1059,779.0,384.0,2.5,14.7,21.8,600,2018.0,801.15,0.9723522436497535,1.2983333333333333,2.0286458333333335,1
1060,650.0,288.0,1.6,14.3,21.8,280,2018.0,498.78400000000005,1.3031693077564637,2.3214285714285716,2.2569444444444446,2
1061,919.0,104.0,0.6,14.3,21.0,140,2018.0,180.18,5.1004551004551,6.564285714285714,8.836538461538462,0
1062,919.0,568.0,7.0,17.0,24.3,2069,2018.0,2891.7000000000003,0.31780613479959885,0.44417593040116,1.6179577464788732,2
1063,733.0,495.0,2.5,13.7,20.6,529,2018.0,705.5500000000001,1.0389058181560484,1.385633270321361,1.4808080808080808,1
1064,969.0,346.0,2.0,18.0,23.6,839,2018.0,849.6,1.1405367231638417,1.1549463647199048,2.800578034682081,0
1065,815.0,346.0,1.5,15.2,21.6,360,2018.0,492.47999999999996,1.6548895386614686,2.263888888888889,2.3554913294797686,0
1066,969.0,346.0,1.8,15.2,21.6,469,2018.0,590.976,1.6396604938271604,2.066098081023454,2.800578034682081,0
1067,1309.0,256.0,1.8,20.5,26.4,910,2018.0,974.1599999999999,1.3437217705510391,1.4384615384615385,5.11328125,1
1068,1459.0,346.0,2.3,15.4,21.7,560,2018.0,768.6139999999998,1.8982219943951064,2.6053571428571427,4.216763005780347,0
1069,1519.0,104.0,1.0,20.9,29.6,460,2018.0,618.64,2.455386008017587,3.3021739130434784,14.60576923076923,1
1070,1277.0,382.0,2.3,15.2,21.5,589,2018.0,751.6399999999999,1.6989516257782984,2.168081494057725,3.342931937172775,0
1071,1460.0,668.0,4.0,15.5,21.7,959,2018.0,1345.3999999999999,1.0851791288836035,1.5224191866527632,2.18562874251497,1
