N,price,pages,size1,size2,size3,weight,year,volume,volume_price,weight_price,page_price,CoverType
712,775.0,266.0,1.5,13.5,20.5,320,2022.0,415.125,1.8669075579644685,2.421875,2.9135338345864663,0
713,1019.0,352.0,2.8,15.0,20.7,600,2022.0,869.4,1.1720726938118242,1.6983333333333333,2.8948863636363638,1
714,1199.0,400.0,2.1,13.7,20.7,440,2022.0,595.539,2.013302235453933,2.725,2.9975,1
715,878.0,316.0,1.6,13.5,20.5,370,2022.0,442.8,1.9828364950316169,2.372972972972973,2.778481012658228,1
716,1034.0,272.0,2.7,14.5,21.7,348,2022.0,849.5550000000001,1.2171077799553882,2.971264367816092,3.801470588235294,1
717,1669.0,252.0,1.7,15.3,21.7,422,2022.0,564.417,2.957033540804051,3.9549763033175354,6.623015873015873,1
718,1669.0,368.0,2.1,13.5,20.7,410,2022.0,586.845,2.8440218456321515,4.070731707317073,4.5353260869565215,1
719,1669.0,432.0,2.2,15.3,21.7,550,2022.0,730.422,2.284980463348585,3.0345454545454547,3.863425925925926,1
720,1779.0,372.0,2.2,15.1,21.5,560,2022.0,714.23,2.4907942819539923,3.1767857142857143,4.782258064516129,1
721,1879.0,624.0,3.0,15.2,21.7,770,2022.0,989.5199999999999,1.8989004769989493,2.4402597402597404,3.011217948717949,1
722,433.0,498.0,3.0,15.3,21.7,720,2021.0,996.0300000000001,0.43472586167083316,0.6013888888888889,0.8694779116465864,1
723,729.0,192.0,1.6,12.5,16.7,259,2021.0,334.0,2.182634730538922,2.8146718146718146,3.796875,1
724,759.0,352.0,1.8,13.0,20.6,340,2021.0,482.0400000000001,1.574558127956186,2.2323529411764707,2.15625,1
725,759.0,464.0,2.2,13.7,20.7,480,2021.0,623.898,1.21654501216545,1.58125,1.6357758620689655,1
726,624.0,436.0,2.5,12.0,18.0,319,2021.0,540.0,1.1555555555555554,1.9561128526645768,1.4311926605504588,0
727,666.0,272.0,2.0,13.2,20.6,330,2021.0,543.84,1.2246248896734333,2.018181818181818,2.448529411764706,1
728,716.0,318.0,1.9,14.8,21.0,349,2021.0,590.52,1.2124906861748967,2.0515759312320916,2.251572327044025,0
729,787.0,416.0,2.5,14.5,21.8,490,2021.0,790.25,0.9958873774122113,1.6061224489795918,1.8918269230769231,1
730,989.0,351.0,2.2,14.5,21.7,500,2021.0,692.23,1.4287158892275689,1.978,2.8176638176638176,1
731,767.0,624.0,1.6,6.0,9.0,648,2021.0,86.4,8.877314814814815,1.183641975308642,1.2291666666666667,0
732,1019.0,232.0,1.9,13.8,20.0,289,2021.0,524.4,1.9431731502669718,3.5259515570934257,4.392241379310345,0
733,1039.0,368.0,3.1,17.5,23.5,720,2021.0,1274.875,0.8149818609667614,1.4430555555555555,2.823369565217391,1
734,1099.0,182.0,1.0,14.8,20.7,230,2021.0,306.36,3.587282935109022,4.778260869565218,6.038461538461538,0
735,771.0,672.0,3.0,12.8,20.5,639,2021.0,787.2000000000002,0.9794207317073169,1.2065727699530517,1.1473214285714286,1
736,783.0,688.0,3.0,13.0,20.5,660,2021.0,799.5,0.9793621013133208,1.1863636363636363,1.1380813953488371,1
737,1199.0,304.0,2.0,15.3,21.7,419,2021.0,664.02,1.805668503960724,2.8615751789976134,3.9440789473684212,1
738,831.0,352.0,2.0,17.5,24.5,680,2021.0,857.5,0.9690962099125364,1.2220588235294119,2.3607954545454546,1
739,1309.0,396.0,2.4,14.5,21.0,540,2021.0,730.8,1.7911877394636015,2.424074074074074,3.3055555555555554,1
740,1309.0,432.0,2.5,14.5,20.7,569,2021.0,750.375,1.7444611027819423,2.3005272407732864,3.0300925925925926,1
741,1359.0,416.0,2.3,17.2,24.4,720,2021.0,965.2639999999998,1.407904987651047,1.8875,3.266826923076923,1
742,1359.0,346.0,2.0,13.0,20.5,310,2021.0,533.0,2.549718574108818,4.383870967741935,3.9277456647398843,1
743,1569.0,1000.0,2.1,13.5,21.7,410,2021.0,615.195,2.550410845341721,3.8268292682926828,1.569,1
744,1411.0,192.0,1.5,20.3,26.0,800,2021.0,791.7,1.7822407477579891,1.76375,7.348958333333333,1
745,971.0,368.0,2.8,16.7,24.5,860,2021.0,1145.62,0.8475759850561269,1.1290697674418604,2.6385869565217392,1
746,1353.0,624.0,2.8,13.5,20.6,620,2021.0,778.68,1.7375558637694561,2.182258064516129,2.168269230769231,1
747,219.0,51.0,0.4,14.7,20.7,79,2020.0,121.716,1.7992704328108056,2.7721518987341773,4.294117647058823,0
748,599.0,224.0,1.7,13.5,20.7,280,2020.0,475.06499999999994,1.260880090092935,2.1392857142857142,2.674107142857143,1
749,659.0,208.0,1.7,15.3,21.6,340,2020.0,561.816,1.1729819015478378,1.938235294117647,3.168269230769231,1
750,709.0,432.0,2.1,14.6,21.0,500,2020.0,643.86,1.1011710620321187,1.418,1.6412037037037037,0
751,650.0,208.0,1.4,14.0,21.5,270,2020.0,421.4,1.5424774560987187,2.4074074074074074,3.125,1
752,809.0,200.0,1.0,14.0,21.0,250,2020.0,294.0,2.751700680272109,3.236,4.045,0
753,813.0,351.0,1.9,14.7,21.0,439,2020.0,586.53,1.386118357117283,1.8519362186788155,2.3162393162393164,0
754,1099.0,384.0,2.4,17.0,24.2,730,2020.0,987.3599999999999,1.1130691946199969,1.5054794520547945,2.8619791666666665,1
755,1149.0,608.0,3.4,12.0,20.5,629,2020.0,836.4,1.3737446197991392,1.8267090620031796,1.8898026315789473,1
756,1199.0,240.0,1.8,15.4,21.6,469,2020.0,598.7520000000001,2.002498530276308,2.556503198294243,4.995833333333334,1
757,1249.0,290.0,2.0,15.5,21.5,469,2020.0,666.5,1.8739684921230308,2.6631130063965887,4.3068965517241375,1
758,1138.0,640.0,3.7,17.3,24.6,1169,2020.0,1574.6460000000002,0.7227021184443995,0.9734816082121471,1.778125,1
759,1409.0,472.0,2.3,14.0,21.0,579,2020.0,676.1999999999999,2.083703046435966,2.4335060449050085,2.985169491525424,0
760,1409.0,404.0,2.1,15.0,21.0,569,2020.0,661.5,2.130007558578987,2.476274165202109,3.487623762376238,1
761,1519.0,418.0,2.5,15.5,21.5,620,2020.0,833.125,1.8232558139534885,2.45,3.6339712918660285,1
762,549.0,256.0,1.1,12.0,18.0,200,2019.0,237.60000000000002,2.3106060606060606,2.745,2.14453125,0
763,599.0,288.0,1.5,13.2,20.7,330,2019.0,409.8599999999999,1.4614746498804474,1.8151515151515152,2.079861111111111,1
764,809.0,416.0,2.2,15.0,22.2,649,2019.0,732.6,1.1042861042861043,1.2465331278890601,1.9447115384615385,1
765,1149.0,384.0,2.0,13.7,20.5,419,2019.0,561.6999999999999,2.0455759302118572,2.7422434367541766,2.9921875,1
766,1149.0,399.0,2.5,15.3,22.0,600,2019.0,841.5,1.3654188948306596,1.915,2.8796992481203008,1
767,1309.0,640.0,3.9,17.2,21.7,1029,2019.0,1455.636,0.899263277357801,1.272108843537415,2.0453125,1
768,1569.0,448.0,2.4,13.5,20.7,469,2019.0,670.68,2.339416711397388,3.345415778251599,3.502232142857143,1
769,2309.0,640.0,3.7,17.5,24.2,1139,2019.0,1566.95,1.4735632917451098,2.0272168568920104,3.6078125,0
770,5490.0,286.0,2.3,15.0,21.5,460,2019.0,741.75,7.401415571284125,11.934782608695652,19.195804195804197,0
771,389.0,346.0,2.2,13.8,20.7,460,2018.0,628.452,0.6189812427997683,0.8456521739130435,1.1242774566473988,0
772,779.0,736.0,3.5,15.5,21.8,819,2018.0,1182.65,0.6586902295691878,0.9511599511599511,1.0584239130434783,1
773,869.0,104.0,0.5,14.5,20.5,140,2018.0,148.625,5.846930193439865,6.207142857142857,8.35576923076923,0
774,149.0,52.0,0.4,14.5,21.0,79,2017.0,121.80000000000001,1.2233169129720853,1.8860759493670887,2.8653846153846154,0
775,519.0,560.0,2.8,13.2,20.5,569,2017.0,757.6799999999998,0.6849857459613559,0.9121265377855887,0.9267857142857143,1
